ten_san_pham,gia_ban,gia_ban_so,gia_goc,gia_goc_so,link,hinh_anh,danh_muc,thoi_gian_cao,thong_so
Điện thoại iPhone 12 Nhật Bản (Mới 100%),11.650.000 ₫,11650000,13.950.000₫,13950000,https://mobilecity.vn/apple/iphone-12.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2022/03/iphone-12-chinh-hang-blue.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision 6.1 inches, Full HD+ (1170 x 2532 pixels) Thủy tinh gốm chống xước, lớp phủ oleophobic True-tone | Hệ điều hành: iOS 14.1, có thể nâng lên iOS 15.3 | Camera sau: 12 MP, f/1.góc rộng), dual pixel PDAF, OIS 12 MP, f/2.4, 120˚ (góc siêu rộng) Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (lên đến 30fps) | Camera trước: 12 MP, f/2.2 (góc rộng) SL 3D (đo độ sâu/sinh trắc học) Quay phim: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS | Bộ nhớ trong: 64-256GB | Thẻ SIM: 2 SIM | Dung lượng pin: Li-Ion 2815 mAh Sạc nhanh 20W, 100% pin trong 60 phút (Quảng cáo) USB Power Delivery 2.0 Sạc không dây Magsafe 15W Sạc không dây Qi 7.5W | Thiết kế: Khung nhôm + Hai mặt kính"
Điện thoại iPhone 12 CPO Quốc tế (Mới 100%),11.650.000 ₫,11650000,13.950.000₫,13950000,https://mobilecity.vn/dien-thoai/iphone-12-cpo.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2022/07/iphone-12-cpo-tim.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision, 625 nits (HBM), 1200 nits (tối đa) 6.1 inches, Full HD+ (1170 x 2532 pixels), tỷ lệ 19.5:9 Thủy tinh gốm chống xước, phủ oleophobic Gamut màu rộng True-tone | Hệ điều hành: iOS 15.5 | Camera sau: 12 MP, f/1.6, 26mm (góc rộng), dual pixel PDAF, OIS 12 MP, f/2.4, 13mm, 120˚ (góc siêu rộng) Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (lên tới 30fps), thu âm stereo | Camera trước: 12 MP, f/2.2, 23mm (góc rộng) SL 3D, (độ sâu/cảm biến sinh trắc học) Quay phim: 4K @ 24/30/60fps, 1080p @ 30/60/120fps, con quay hồi chuyển EIS | Bộ nhớ trong: 64-256GB, NVMe | Thẻ SIM: 1 SIM (Nano-SIM/eSIM) hoặc 2 SIM (Nano-SIM, 2 chế độ chờ) - Bản Trung Quốc | Dung lượng pin: Li-Ion 2815 mAh Sạc nhanh 20W, 50% trong 30 phút Sạc không dây MagSafe 15W Sạc ngược không dây Qi 7.5W | Thiết kế: Khung kim loại + Mặt lưng kính"
Điện thoại iPhone 16e Chính hãng VN/A,12.950.000 ₫,12950000,,0,https://mobilecity.vn/dien-thoai/iphone-16e-apple-a18.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2025/02/iphone-16e-trang.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, 800 nits (HBM), 1200 nits (peak) 6.1 inches, 1.5K (1170 x 2532 pixels) Tỷ lệ 19.5:9, mật độ điểm ảnh ~457 ppi | Hệ điều hành: iOS 18.4 | Camera sau: 48 MP, f/1.6, 26mm (góc rộng), PDAF, OIS Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, OIS, stereo sound rec. | Camera trước: 12 MP, f/1.9 (góc rộng) SL 3D, (độ sâu/sinh trắc học) Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120fps, HDR | Bộ nhớ trong: 128-512GB | Thẻ SIM: Nano SIM + eSIM | Dung lượng pin: Li-Ion 4005 mAh Sạc nhanh (dây) >20W Sạc không dây (Qi) 7.5W | Thiết kế: Khung nhôm phẳng 2 mặt kính cường lực phẳng (Ceramic Shield) Kháng nước, bụi IP68 (dưới 6m trong 30 phút)"
Điện thoại iPhone SE 4 (Camera 48MP),12.950.000 ₫,12950000,,0,https://mobilecity.vn/dien-thoai/iphone-se-4.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2024/12/apple-iphone-se-2025-ro-ri.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (typ), 2000 nits (peak) 6.1 inches, 1.5K (1170 x 2532 pixels) | Hệ điều hành: iOS 18 | Camera sau: 48 MP (góc rộng), dual pixel PDAF, sensor-shift OIS Quay phim: 4K, 1080p | Camera trước: 12 MP (góc rộng) Quay phim: 4K, 1080p | Bộ nhớ trong: 128-512GB | Thẻ SIM: Nano SIM + eSIM | Dung lượng pin: Đang cập nhật | Thiết kế: Khung nhựa phẳng Mặt lưng phẳng (kính) Màn hình Dynamic Island (phẳng) Bảo mật Face ID)"
Điện thoại iPhone 15 Chính hãng VN/A,15.450.000 ₫,15450000,,0,https://mobilecity.vn/dien-thoai/iphone-15-chinh-hang-nho-gon.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2023/09/iphone-15-hong.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (HBM), 2000 nits (tối đa) 6.1 inches, 1179 x 2556 pixels, tỷ lệ 19.5:9 Mật độ điểm ảnh ~461 ppi Ceramic Shield glass | Hệ điều hành: iOS 17 | Camera sau: 48 MP, f/1.6, 26mm (góc rộng), dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 13mm, 120˚ (góc siêu rộng) Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec. | Camera trước: 12 MP, f/1.9, 23mm (góc rộng), PDAF SL 3D (độ sâu/sinh trắc học) HDR, Cinematic mode (4K@30fps) Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS | Bộ nhớ trong: 128-512GB, NVMe | Thẻ SIM: Nano SIM và eSIM (Quốc tế) Chỉ eSIM (bản Mỹ) 2 SIM,Nano SIM (Trung Quốc) | Dung lượng pin: Li-Ion x mAh Sạc nhanh 50% trong 30 ph (QC) Sạc không dây (MagSafe) 15W Sạc không dây (Qi) 7.5W | Thiết kế: Khung nhôm vuông vức Kính sau Corning-made Kính trước Ceramic Shield Thiết kế màn hình Dynamic Island Kháng nước, bụi IP68"
"Điện thoại iPhone 13 Chính hãng VN/A (128GB, 256GB, 512GB)",17.450.000 ₫,17450000,21.950.000₫,21950000,https://mobilecity.vn/apple/iphone-13-chinh-hang-vn-a.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2021/10/iphone-13-xanh.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision 6.1 inches, (~460 ppi), 800 nits (HBM), 1200 nits (peak) 1170 x 2532 pixels, 19.5:9 ratio Kính cường lực Ceramic Shield True-tone | Hệ điều hành: iOS 15 | Camera sau: 12 MP, f/1.6, 26mm (góc rộng), dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (góc siêu rộng) Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps). | Camera trước: 12 MP, f/2.2, 23mm (góc rộng) SL 3D, (depth/biometrics sensor) Quay phim: 4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS | Bộ nhớ trong: 128-512GB NVMe | Thẻ SIM: 2 SIM (1 eSIM) | Dung lượng pin: 3240 mAh, sạc nhanh 20W, 50% trong 30ph (quảng cáo) USB Power Delivery 2.0 MagSafe wireless charging 15W | Thiết kế: Thanh + cảm ứng"
Điện thoại iPhone 15 Plus Chính hãng VN/A,17.550.000 ₫,17550000,,0,https://mobilecity.vn/dien-thoai/iphone-15-plus-chinh-hang-man-hinh-rong.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2023/09/iphone-15-plus-xanh-duong.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (HBM), 2000 nits (tối đa) 6.7 inches, 1290 x 2796 pixels, tỷ lệ 19.5:9 Mật độ điểm ảnh ~460 ppi Ceramic Shield glass | Hệ điều hành: iOS 17 | Camera sau: 48 MP, f/1.6, 26mm (góc rộng), dual pixel PDAF, sensor-shift OIS 12 MP, f/2.4, 13mm, 120˚ (góc siêu rộng) Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), Cinematic mode (4K@30fps), stereo sound rec. | Camera trước: 12 MP, f/1.9, 23mm (góc rộng), PDAF SL 3D (độ sâu/sinh trắc học) HDR, Cinematic mode (4K@30fps) Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS | Bộ nhớ trong: 128-512GB, NVMe | Thẻ SIM: Nano SIM và eSIM (Quốc tế) Chỉ eSIM (bản Mỹ) 2 SIM,Nano SIM (Trung Quốc) | Dung lượng pin: Li-Ion x mAh Sạc nhanh 50% trong 30 ph (QC) Sạc không dây (MagSafe) 15W Sạc không dây (Qi) 7.5W | Thiết kế: Khung nhôm vuông vức Kính sau Corning-made Kính trước Ceramic Shield Thiết kế màn hình Dynamic Island Kháng nước, bụi IP68"
Điện thoại iPhone 17e Chính hãng,17.950.000 ₫,17950000,,0,https://mobilecity.vn/dien-thoai/iphone-17e-chinh-hang.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2026/03/iphone-17e-00-3.jpg,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED,1200 nits (peak) 6.1 inches, 1.5K (1170 x 2532 pixels) | Hệ điều hành: iOS 26 | Camera sau: 48 MP, f/1.6, 26mm (wide), 1/2.55"", 0.7µm, PDAF, OIS Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, Dolby Vision HDR, OIS, stereo sound rec. | Camera trước: 12 MP, f/1.9, 23mm (wide), 1/3.6"", 1.0µm, PDAF | Bộ nhớ trong: 256-512GB, NVMe | Thẻ SIM: 1 SIM Nano + 2 eSIM (Quốc tế) 2 SIM Nano (Trung Quốc) 2 eSIM (Hoa Kỳ) | Dung lượng pin: Li-Ion 4005 mAh | Thiết kế: Khung nhôm phẳng + 2 mặt kính phẳng Kháng nước, bụi IP68 Bảo mật, mở khóa Face ID"
Điện thoại iPhone 16 Chính hãng VN/A,20.150.000 ₫,20150000,,0,https://mobilecity.vn/dien-thoai/iphone-16-chinh-hang-nho-gon.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2024/09/iphone-16-xanh-mong-ket.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM) 6.1 inches, 1179 x 2556 pixels Tỷ lệ 19.5:9, Mật độ điểm ảnh ~461 ppi Kính bảo vệ Ceramic Shield (2004) | Hệ điều hành: iOS 18 | Camera sau: 48 MP, f/1.6, 26mm (góc rộng), dual pixel PDAF, sensor-shift OIS 12 MP, f/2.2, 13mm, 120˚ (góc siêu rộng), dual pixel PDAF Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec. | Camera trước: 12 MP, f/1.9, 23mm (góc rộng), PDAF SL 3D, (độ sâu/cảm biến sinh trắc) Quay phim: 4K@24/25/30/60fps, 1080p@25/30/60/120fps, gyro-EIS | Bộ nhớ trong: 128-512GB, NVMe | Thẻ SIM: Quốc tế: Nano SIM và eSIM Mỹ: 2 eSIM với nhiều số Trung Quốc: 2 SIM Nano | Dung lượng pin: Li-Ion 3561 mAh Sạc nhanh >20W Sạc không dây 25W (MagSafe) và 15W (Qi2) Sạc ngược 4.5W (không dây) | Thiết kế: Khung nhôm vuông vức Kính trước Ceramic Shield (2024) Kính sau Corning-made Kháng nước, bụi IP68"
"Điện thoại iPhone 13 Pro Max (Chính hãng VN/A) (128GB, 256GB, 512GB)",20.950.000 ₫,20950000,27.450.000₫,27450000,https://mobilecity.vn/apple/iphone-13-pro-max-chinh-hang-vn-a.html,https://cdn.mobilecity.vn/mobilecity-vn/images/2021/10/iphone-13-pro-max-vang.jpg.webp,iPhone Chính hãng,2026-04-27 11:46:44,"Màn hình: Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision 6.7 inches (1284 x 2778 pixels), tỷ lệ 19.5:9 Kính cường lực Ceramic Shield True-tone | Hệ điều hành: iOS 15 | Camera sau: 12 MP, f/1.5, 26mm (góc rộng), dual pixel PDAF, sensor-shift OIS 12 MP, f/2.8, 77mm (chân dung), PDAF, OIS, 3x optical zoom 12 MP, f/1.8, 13mm, 120˚ (góc siêu rộng), PDAF Quay phim: 4K@24/30/60fps, 1080p@30/60/120/240fps, 10‑bit HDR, Cinematic mode | Camera trước: 12 MP, f/2.2, 23mm (góc rộng) SL 3D, (đo chiều sâu) Quay phim: 4K@24/25/30/60fps, 1080p@30/60/120fps, gyro-EIS | Bộ nhớ trong: 128GB-1TB NVMe | Thẻ SIM: 2 SIM (1 eSIM) | Dung lượng pin: Li-Ion 4352 mAh Sạc nhanh 27W, 50% trong 30ph (quảng cáo) MagSafe wireless charging 15W Qi magnetic fast wireless charging 7.5W | Thiết kế: Thanh + cảm ứng"
