ten_dich_vu,gia_hien_thi,gia_so,link,thoi_gian_cao
"Sửa Camera đốm, rung iPhone X",100.000 ₫,100000,https://mobilecity.vn/dich-vu/sua-camera-dom-rung-iphone-x.html,2026-05-07 08:05:21
"Thay kính lưng, nắp lưng Xiaomi Redmi K30i 5G",100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-kinh-lung-nap-lung-xiaomi-redmi-k30i-5g.html,2026-05-07 08:05:21
Sửa True Tone iPhone X | XS Max | Xr,100.000 ₫,100000,https://mobilecity.vn/dich-vu/sua-true-tone-iphone-x.html,2026-05-07 08:05:21
Sửa True Tone iPhone 11 | 11 Pro | 11 Pro Max,100.000 ₫,100000,https://mobilecity.vn/dich-vu/sua-true-tone-iphone-11.html,2026-05-07 08:05:21
Thay camera Xiaomi Redmi Note 9s,100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-camera-xiaomi-redmi-note-9s.html,2026-05-07 08:05:21
"Thay mặt kính cảm ứng Samsung Galaxy A5 (A500, A510, A520)",100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-mat-kinh-samsung-galaxy-a5-a500-549.html,2026-05-07 08:05:21
"Thay màn hình Asus Zenfone 5, 5Z, 5 Lite 2018, 5 Max",100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-man-hinh-asus-zenfone-5-840.html,2026-05-07 08:05:21
Thay kính camera sau iPhone 8 | 8 Plus,100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-kinh-camera-sau-iphone-8.html,2026-05-07 08:05:22
Thay kính camera sau iPhone 6 | 6 Plus | 6S | 6S Plus,100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-kinh-camera-sau-iphone-6.html,2026-05-07 08:05:22
"Thay kính camera sau iPhone 7, 7 Plus",100.000 ₫,100000,https://mobilecity.vn/dich-vu/thay-kinh-camera-sau-iphone-7.html,2026-05-07 08:05:22
